N,sentence
143,Se aprobaron los Lineamientos para la Promoción y Protección de la Alimentación Saludable  en  las  Instituciones Educativas  Públicas  y  Privadas  porque  una buena alimentación es fundamental para tener una buena salud.
144,Se aprobó la Ley de Salud Mental.
145,Estamos cambiando la forma de atender la salud mental  de  grandes  hospitales  a  redes  locales  de  establecimientos  comunitarios cercanos  al  primer  nivel  de  atención.
146,Hoy  tenemos  103  centros  de  salud  mental comunitaria  en  funcionamiento.
147,"Para  el  2021  tendremos  281  centros  de  salud mental comunitarios, 62 unidades de hospitalización de salud mental y adicciones en hospitales generales, y 170 hogares protegidos."
148,"Asimismo,  hemos  reglamentado  la  Ley  del  intercambio  prestacional  entre  el Ministerio  de  Salud  y  Essalud,  el  cual  se  brindará  también  a  través  de  servicios complementarios."
149,"De esta forma, los asegurados podrán atenderse indistintamente en cualquier establecimiento."
150,Este mecanismo se  implementará gradualmente en las diferentes regiones del país y a nivel nacional.
151,Para  que  más  peruanos  y  peruanas  tengan  empleos  de  calidad  venimos fortaleciendo las medidas para luchar frontalmente contra la informalidad laboral.
152,En el primer semestre del año se formalizó a más de 97 mil personas.
153,"Este último año, a través del Programa “Trabaja Perú”, hemos generado más de 42 mil empleos temporales, con una inversión de cerca de S/ 180 millones de soles, en obras  de  pequeña  escala  pero  con  alta  demanda  local,  como  la  construcción  de muros de contención, defensas ribereñas, caminos vecinales, entre otros."
154,"Esto nos ha permitido, además, apoyar a la población damnificada de 75 distritos declarados en emergencia por la ocurrencia de desastres naturales."
155,"A través de la Superintendencia Nacional de Fiscalización Laboral (SUNAFIL), en el primer semestre de este año se formalizó a casi 79 mil trabajadores/as a través de la inspección a un total de 11 mil empresas."
156,"Ahora,  nuestros  jóvenes  entre  18  y  29  años  pueden  obtener  de manera gratuita un certificado que integra información que requieren para postular a  un  empleo  (datos  de  identidad,  antecedentes  policiales,  judiciales  y  penales, trayectoria educativa y experiencia laboral formal)."
157,"Según  la  información  del  Instituto  Nacional  de  Estadística  e  Informática,  los programas sociales han contribuido a disminuir en 0."
158,"Para lograr esto, se propone la creación de una estrategia de salida permanente de la  pobreza,  la  cual  se hace de manera articulada entre  diversos  sectores para la gestión de 3 paquetes de desarrollo: I) Acceso a servicios básicos; II) Servicios de soporte a la inclusión productiva y laboral; y III) Gestión de riesgo de desastres."
159,Asumimos el compromiso de aprobar la Política Nacional de Igualdad de Género y lo cumplimos.
160,Cumplimos con el compromiso de implementar nuevos centros emergencia mujer en comisarías que atienden los 7 días de la semana las 24 horas del día.
161,"Hemos  cumplido  con  fortalecer  el  Servicio  de  Atención  Urgente  (SAU),  el  cual, apenas conocido el hecho de violencia, brinda a las víctimas atención y protección y, sobre todo, presencia del Estado."
162,"Hemos  implementado  la  estrategia  “Te  Acompañamos”,  a  través  de  la  cual buscamos que las niñas, niños y adolescentes que sufren la irreparable pérdida de su  madre  víctima  de  feminicidio  tengan  la  posibilidad  de  continuar  sus  estudios hasta  concluirlos,  sean  atendidos  en  los  centros  de  salud,  tanto  física  y psicológicamente, y puedan acceder a programas de empleo, entre otros."
163,Ahora el acoso y chantaje sexual se sancionan con la cárcel.
164,"Se perfeccionó la Ley para prevenir, sancionar y erradicar la violencia contra las mujeres y los integrantes del grupo familiar."
165,"No más impunidad en las universidades, en las escuelas y en los centros de trabajo con  la  aprobación  del  Reglamento  de  la  Ley  de  prevención  y  sanción  del hostigamiento sexual."
166,Aquellos padres que no cumplan con sus obligaciones alimentarias serán separados del Estado.
167,Enfrentar  la  violencia  necesita  del  compromiso  de  mujeres  y  de  hombres.
168,"Debo resaltar  el  Programa  de  Hombres  por  la  Igualdad,  donde  se  involucran  y  se comprometen en diferentes periodos de capacitación y generan efecto multiplicador en sus comunidades para una sociedad realmente igualitaria."
169,"Venimos  implementando  el  Sistema  Nacional  Especializado  de  Justicia  para  la atención de casos de violencia contra las mujeres e integrantes del grupo familiar, llegando a 5 distritos judiciales este año y a 20 distritos judiciales para el próximo año 2020."
170,"Esto significa que las víctimas de violencia tendrán acceso a un proceso más rápido y garantista, contando con jueces, fiscales, policías, abogados y otros operadores capacitados y sensibilizados que atiendan en plazos cortos, así como que dicten y ejecuten medidas de protección oportunas y eficaces."
171,Recordemos que justicia que tarda no es justicia.
172,La infancia y adolescencia son también nuestra prioridad.
173,"En el Perú ningún padre o madre debería abandonar, maltratar o desconocer sus obligaciones para con sus hijos e hijas, pero lamentablemente estos casos se presentan."
174,"Hemos creado 17 unidades de protección especial que atienden a las niñas, niños y adolescentes sin cuidados  parentales,  habiendo  cubierto  el  50%  de  distritos  judiciales  del  país,  y atendido a 20,000 niñas, niños y adolescentes, restituyéndoles el derecho de vivir en familia."
175,"Este gobierno está recuperando el principio de autoridad en zonas donde la minería ilegal se había instaurado por largos años generando la propagación de economías ilícitas,  atentando  contra  el  medio  ambiente  y  los  derechos  de  los  peruanos  y peruanas que viven en la zona."
